#,"Name  of the Police Station , ADDRESS & Phone number",District
75,"Moolanur  Police Station, Karur Main Road,Moolanur-638106. PH: 04258-227233",Coimbatore
76,"Kunnathur  Police Station, 295, Gobi Road,Kunnathur- 638103. PH: 04295-263033",Coimbatore
77,"Madathukulam Police Station, Madathukulam  PS, Coimbatore - 641601. PH: 04252-252329",Coimbatore
78,"Mangalam Police Station, Mangalam ps,Thirupure – 641601. PH: 0421-2345300",Coimbatore
79,"Mahalingapuram Police Station, Muthur Main Rd,Kongu Nagar,Mahalingapuram-638111. PH: 04259-227833",Coimbatore
80,"SULUR SUB DIVISION, ",Coimbatore
81,"POLLACHI SUB DIVISION,
MAHALINGAPURAM, POLLACHI 642 001
",Coimbatore
82,"VALPARAI SUB DIVISION,
DSP CAMP OFFICE, ANAIMALAI   642 104",Coimbatore
83,"PERIYANAICKEN PALAYAM SUB DIVISION,
KUPPUCHIPALAYAM ROAD, PNP, 641 106",Coimbatore
84,"PERUR SUB DIVISION,
DSP CAMP OFFICE, COVAIPUDUR ROAD, POSTAL COLONY, PERUR 641 010",Coimbatore
85,"TIRUPUR SUB DIVISION,
DSP CAMP OFFICE,
KUMARAN ROAD, TIURPUR,  641 601",Coimbatore
86,"AVINASHI SUB DIVISION, DSP CAMP OFFICE, CHEYUR ROAD, AVINASHI 641 654",Coimbatore
87,"PALLADAM SUB DIVISION, 
DSP CAMP OFFICE, TRICHY  ROAD, PALLADAM   641 664
",Coimbatore
88,"UDUMALPET SUB DIVISION, DSP CAMP OFFICE, KATCHERI ROAD, NEAR GH UDUMALPET 641 126",Coimbatore
89,DHARAPURAM SUB DIVISION,Coimbatore
90,"KANGEYAM SUB DIVISION,DSP OFFICE, KANGAYAM, D.NO. 322,DHARAPURAM ROAD,
KANGAYAM,PIN:638701 
",Coimbatore
91,"COP, CITY POLICE OFFICE, COIMBATORE -18",Coimbatore
92,"AC OF POLICE L&O (W), R.S.PURAM, COIMBATORE CITY",Coimbatore
93,"AC OF POLICE,  CRIME (W), R.S.PURAM,          COIMBATORE CITY",Coimbatore
94,"AC OF POLICE,  CRIME (E), B-5 SINGANALLUR PS. COIMBATORE CITY.",Coimbatore
95,"AC OF POLICE,  TRAFFIC (E),             B-3 KATTUR P.S.        COIMBATORE CITY",Coimbatore
96,"AC OF POLICE,  L&O (C), B-3 KATTUR P.S, COIMBATORE CITY",Coimbatore
97,"AC OF POLICE,  CRIME (S), NANJUNDAPURAM ROAD, PODANUR, COIMBATORE ",Coimbatore
98,"AC OF POLICE,  L&O (S), NANJUNDAPURAM ROAD, PODANUR, COIMBATORE",Coimbatore
99,"AC OF POLICE,  CRIME (S), NANJUNDAPURAM ROAD, PODANUR, COIMBATORE ",Coimbatore
100,"AC OF POLICE     I.S. CITY POLICE OFFICE, COIMBATORE -18",Coimbatore
101,"AC OF POLICE SIC, CITY POLICE OFFICE, COIMBATORE -18",Coimbatore
102,"AC OF POLICE  C.R.B. CITY POLICE OFFICE, COIMBATORE -18",Coimbatore
103,"AC OF POLICE  A.R. PRS,         COIMBATORE CITY",Coimbatore
104,"Video Piracy Cell , Coimbatore City, NO-419, 6 th STREET, 100 FEET ROAD, Gandhipuram, COIMBATORE. Ph: 0422-2520450 (TN Police Special Unit)",Coimbatore
105,"Video Piracy Cell , Coimbatore, No-27, Cross Road, Krishna Nagar, Thanganoor Road, Opp R.K Hospital, Ganapathy Post, Coimbatore - 641 007. Ph: 0422-2333736 (TN Police Special Unit)",Coimbatore
106,"CBCID, Coimbatore, No.800 Avinashi Road, A.R. Rural Police quarters compound, Coimbatore- 641 018.. Ph: 0422 - 2380250 (TN Police Special Unit)",Coimbatore
107,"CSCID, Coimbatore, 4/5, Vasantham Colony, LIC Nagar, Kovai Puthur, Coimbator - 42. Ph: 0422-2608889 (TN Police Special Unit)",Coimbatore
108,"CSCID, Polachi, No-13, Krishnaveni Layout, Jamin uthukuli , Polachi. Ph: 04259-224733 (TN Police Special Unit)",Coimbatore
109,"Q' branch, Coimbatore city, No.A/30. Hudco Colony, Sowri Palayam,
Phase-II, PSG Hospital, 
Peelamedu,
Coimbaote-641 004.. Ph: 0422-2242388 (TN Police Special Unit)",Coimbatore
110,"Q' branch, Coimbatore Rural, No.60, Lakshmi Mills Colony,
N.G.R. Street, Pappanaicken Palayam,
Coimbatore-641037. Ph: 0422-2570066 (TN Police Special Unit)",Coimbatore
111,"EOW, Coimbatore, COP Campus, Near Collectrate, Coimbatore - 18. Ph: 0422-2303669 (TN Police Special Unit)",Coimbatore
112,"CCIW(EOW), Coimbatore, 22, Javans Bhavan, Housur Road, Coimbatore - 18. Ph: 0422-2217281 (TN Police Special Unit)",Coimbatore
113,"PEW, Coimbatore City, B7 RAMANATHAPURAM PS – BUILDINGS,
PULIYAKULAM Main Road ,Ramanathapuram,  Coimbatore - 45. Ph: 0422-2580316 (TN Police Special Unit)",Coimbatore
114,"SJ & HR, Coimbatore City, Inspector of Police, Social Justice & Human Rights, DPO Complex, Coimbatore City.. Ph: 0422-2301097 (TN Police Special Unit)",Coimbatore
